METDB-00194-1-DN28161-c0-g1-i1.p1	Pfam	PF07885
METDB-00194-1-DN28161-c0-g1-i1.p1	Pfam	PF07885
METDB-00194-1-DN28393-c0-g1-i1.p1	Pfam	PF03828
METDB-00194-1-DN28283-c0-g1-i1.p1	Pfam	PF00069
METDB-00194-1-DN28283-c0-g1-i2.p1	Pfam	PF00069
METDB-00194-1-DN28174-c0-g1-i1.p1	Pfam	PF00135
METDB-00194-1-DN28209-c1-g1-i1.p1	Pfam	PF00005
METDB-00194-1-DN28209-c1-g1-i1.p1	Pfam	PF12848
METDB-00194-1-DN28209-c1-g1-i1.p1	Pfam	PF00005
METDB-00194-1-DN28324-c0-g1-i1.p1	Pfam	PF00085
METDB-00194-1-DN28324-c0-g1-i1.p1	Pfam	PF00085
METDB-00194-1-DN28324-c0-g1-i1.p1	Pfam	PF00085
METDB-00194-1-DN28324-c0-g1-i1.p1	Pfam	PF00085
METDB-00194-1-DN28417-c0-g1-i1.p3	Pfam	PF00166
METDB-00194-1-DN28290-c1-g1-i1.p1	Pfam	PF00271
METDB-00194-1-DN28290-c1-g1-i1.p1	Pfam	PF02889
METDB-00194-1-DN28134-c0-g2-i1.p3	Pfam	PF13202
METDB-00194-1-DN28284-c0-g1-i1.p1	Pfam	PF00044
METDB-00194-1-DN28284-c0-g1-i1.p1	Pfam	PF02800
METDB-00194-1-DN28344-c0-g2-i1.p1	Pfam	PF08672
METDB-00194-1-DN28344-c0-g2-i1.p1	Pfam	PF00888
METDB-00194-1-DN28378-c0-g1-i1.p1	Pfam	PF05495
METDB-00194-1-DN28184-c0-g2-i1.p1	Pfam	PF03462
METDB-00194-1-DN28184-c0-g2-i1.p1	Pfam	PF00472
METDB-00194-1-DN28345-c0-g1-i2.p1	Pfam	PF01336
METDB-00194-1-DN28345-c0-g1-i2.p1	Pfam	PF16900
METDB-00194-1-DN28345-c0-g1-i2.p1	Pfam	PF08646
METDB-00194-1-DN2826-c0-g3-i1.p1	Pfam	PF13857
METDB-00194-1-DN28385-c0-g1-i1.p1	Pfam	PF00023
METDB-00194-1-DN28385-c0-g1-i1.p1	Pfam	PF05721
METDB-00194-1-DN28207-c0-g2-i1.p1	Pfam	PF00227
